name;url;brand;availability;price
"LM22676MRX-5.0/NOPB, Switching Voltage Regulators SIMPLE SWITCHER&reg; 4.5V to 42V, 3A Step-Down Regulator with Precision Enable 8-SO PowerP";/product0/8004654780;Texas Instruments;no;1390
LM22676TJE-5.0/NOPB, Conv DC-DC 4.5V to 42V Step Down Single-Out 5V 3A 8-Pin(7+Tab) TO-263 T/R;/product0/8003048150;Texas Instruments;no;740
LM22678TJ-5.0/NOPB, IC REG BUCK 5V 5A TO263-7;/product0/8003606922;Texas Instruments;no;990
LM22679TJ-5.0/NOPB, Switching Voltage Regulators 5A SD Vtg Reg;/product0/8004741630;Texas Instruments;no;1890
LM22679TJE-5.0/NOPB, Conv DC-DC 4.5V to 42V Step Down Single-Out 5V 5A 8-Pin(7+Tab) TO-263 T/R;/product0/8003048151;Texas Instruments;no;880
LM25007SD/NOPB, Conv DC-DC 9V to 42V Step Down Single-Out 2.5V to 37V 0.5A 8-Pin WSON EP T/R;/product0/8003064389;Texas Instruments;no;420
LM25011MYX/NOPB, IC REG BUCK ADJUSTABLE 2A 10MSOP;/product0/8003507560;Texas Instruments;no;260
LM25011MYX/NOPB, Switching Voltage Regulators 6-42V Wide Vin, 2A Constant-On Time Buck Regulator with Adjustable Current Limit 10-HVSSOP -40;/product0/8004741633;Texas Instruments;no;1160
LM25019SD/NOPB, Conv DC-DC 7.5V to 48V Synchronous Step Down Single-Out 1.225V to 40V 0.1A 8-Pin WSON EP T/R;/product0/8003064902;Texas Instruments;no;300
LM25085MYE/NOPB, IC REG CTRLR BUCK 8MSOP;/product0/8004250871;Texas Instruments;no;500
LM25085MYX/NOPB, IC REG CTRLR BUCK 8MSOP;/product0/8003428341;Texas Instruments;no;530
LM25115MT/NOPB, DC/DC Cntrlr Single-OUT Step Down 1000kHz 16-Pin TSSOP Tube;/product0/8003323561;Texas Instruments;no;330
LM25116MHX/NOPB, IC REG CTRLR BUCK 20TSSOP;/product0/8003579986;Texas Instruments;no;920
LM25576MH/NOPB, Switching Voltage Regulators 42V,3A STEP-DOWN SWITCHING REG;/product0/8004741640;Texas Instruments;no;1670
