Ноутбук HP 650;10000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-650-6728b87ac26c0ede5a0a9214?source_view=search
Игровой ноутбук asus TuF Ryzen 5 / GTX 1650;30990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-tuf-ryzen-5-gtx-1650-673afd70a622a275a30dd6da?source_view=search
Ноутбук Asus X550CL;7500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-x550cl-6724b03675848c8482028194?source_view=search
Игровой ноутбук Thunderobot 911 Plus G3 Pro;95000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-thunderobot-911-plus-g3-pro-6638b262839a860d110a034e?source_view=search
Ноутбук Acer Aspire 5 A515-51G-57TV;15000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-5-a51551g57tv-6709bbd546ac2a6bd0075bf4?source_view=search
Ноутбук Samsung / для удалённой работы / учёбы;14990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-dlia-udalionnoi-raboty-uchioby-673b0710df3b58b76d0f9404?source_view=search
Ноутбук samsung np x11b;1500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-samsung-r-20-plus-671f58dcb42b8615910d8d54?source_view=search
Ноутбук для World Of Tanks и других;8890 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovaia-zvieriugha-asus-na-i52450mgt630m500gb-67295a25e31fa12c640a8d04?source_view=search
"17.3"" Ноутбук MSI GF75 Thin";40000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/173-noutbuk-msi-gf75-thin-67335635719dbcb95909023e?source_view=search
Ноутбук lenovo flex2 14;10800 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-flex2-14-6723e4f406fcb48f230d41a4?source_view=search
Ноутбук MSI GE62 2QC i7-5700HQ/GeForce GTX960M;21990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-msi-ge62-2qc-i75700hqgeforce-gtx960m-67287b3bace4f58af60abfa6?source_view=search
Продам ноутбук НР 15 bw (15-rb061ur);11000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/prodam-noutbuk-nr-15-bw-15rb061ur-673af121ad56ca3ecf0c678f?source_view=search
Ноутбук HP Compaq Presario CQ56;6900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-compaq-presario-cq56-5e2ef78adf5340369d317ed5?source_view=search
Ноутбук ASUS TUF Gaming б/у;67000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-tuf-gaming-bu-673a1808839756e6d30b5384?source_view=search
Ноутбук Thunderobot 911 Air D;49900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-thunderobot-911-air-d-673e3ba6ac4ce3323b00ced4?source_view=search
Ноутбук HP / Intel Core / SSD;15990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-intel-core-ssd-673b025d08a661a7c101fccb?source_view=search
Игровой ноутбук Thunderobot 911 Plus G3 X/17.3;70000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-thunderobot-911-plus-g3-x173-673986429bc052f36a0f012b?source_view=search
ноутбук Aser nitro 5;75000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-aser-nitro-5-670436be82df0f9181096b14?source_view=search
Ноутбук Asus rog zephyrus g14 GA401QM-K2166T;85000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-rog-zephyrus-g14-ga401qmk2166t-653222b70ea89edf8d04cc84?source_view=search
Ноутбук packard bell p5ws0;6600 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-packard-bell-p5ws0-6728b085a8c535f6e40cfe81?source_view=search
Acer/ i7-6500U/16GB/SSD120/750GB/GTX950;26990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-i76500u16gbssd120750gbgtx950-6720f1f616d852c3350ed20e?source_view=search
Ноутбук aser extensa 5430;1000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-aser-extensa-5430-671f79e7d3cad4689a0aadf4?source_view=search
Ноутбук DELL INSPIRON 1525;4000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-dell-inspiron-1525-6211f02eb6cc264ab9008463?source_view=search
Игровой ноутбук Thunderobot 911s Core D;60999 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-thunderobot-911s-core-d-671d34339a63a2df720d14a4?source_view=search
Lenovo i5-10300H/16GB/SSD512/GTX1650Ti/ips;11400 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/lenovo-i510300h16gbssd512gtx1650tiips-67210582548fdf433d076c74?source_view=search
Ноутбук Acer Packard bell easynote;10000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-packard-bell-easynote-671677e6ccc144981108b044?source_view=search
"17.3"" Ноутбук ardor gaming NEO G17-I7ND315 черный";128000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/173-noutbuk-ardor-gaming-neo-g17i7nd315-chiernyi-670d6d80f783a16662087db4?source_view=search
Ноутбук Acer Aspire A715-71G;55000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-a71571g-6712a593a20e51152e05b3f4?source_view=search
Ноутбук Asus A6R;2000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-a6r-67305b4a811989b84c0c1b70?source_view=search
Acer nitro 5;12700 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-nitro-5-6727a5451273bfe111048be4?source_view=search
Ноутбук Honor MagicBook X;60000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-honor-magicbook-x-6716228cbe89b3d072018794?source_view=search
Ноутбук iru калибр 15Y i7;20500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-iru-kalibr-15y-i7-6729ba5c7f630be09a08cab4?source_view=search
Ноутбук HP;6500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-6715499edea0ab453a00e43e?source_view=search
Acer i5-6200U/GeForce 940M;15990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-i56200ugeforce-940m-6728e529307a72d5fe03dfca?source_view=search
Ноутбук Acer Aspire 5742 PEW71;12000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-aspire-5742-pew71-67090f422f30ff46e502e234?source_view=search
Игровой ноутбук + переферия;130000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-+-pieriefieriia-67026af6a3d62d4d270fab54?source_view=search
Ноутбук MSI Raider GE77HX 12UHS;165000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-msi-raider-ge77hx-12uhs-67277397efbc5ba19108bd91?source_view=search
Как новый i7-7700HQ/16GB/SSD128/1Tb/GTX1050/ips;33990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/kak-novyi-i77700hq16gbssd1281tbgtx1050ips-6720fb19da7d7c201404584c?source_view=search
Ноутбук HP на i7-4510/GеFоrсе GT840m/8гб озу;14390 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-na-i74510gieforsie-gt840m8ghb-ozu-67310f9705056b562c04ab6e?source_view=search
Игровой ноутбук Asus на i5-6200U/GT940m/12гб озу;15790 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-na-i56200ugt940m12ghb-ozu-6730b7e55a96b851ac01ab24?source_view=search
Ноутбук lenovo G550 Core 2 Duo T8100;4200 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-g550-core-2-duo-t8100-6731d1251b08ae88840a7b34?source_view=search
Acer i5-5200U/GeForce 940M;19900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-i55200ugeforce-940m-672b414f6628e6c2da094c25?source_view=search
Ретро ноутбук AST;5500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/rietro-noutbuk-ast-6733155283eb5147750d8b7c?source_view=search
Ноутбук Lenovo Carbon X1, i7, 1Tb, 3840x2160;72000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-carbon-x1-i7-1tb-3840x2160-67390976c8946af3d400d2a0?source_view=search
Ноутбук Acer Swift SF314-58;22000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-swift-sf31458-6734eb7886a9e8efe30f3bb4?source_view=search
Ноутбук Lenovo V15-ADA;28399 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-v15ada-6734f4703c5e9bc0880d43e4?source_view=search
Ryzen 7 4700U/8GB/SSD256/FullHd/ips;31990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ryzen-7-4700u8gbssd256fullhdips-6720f7d4351b2e22e30debe4?source_view=search
Ноутбук-трансформер HP X2 Detachable 10-p004ur;2500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuktransformier-hp-x2-detachable-10p004ur-671ece21b7b2a9dbff042314?source_view=search
Ноутбук DIGMA;17100 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-digma-6723e117390e836ccb009ea4?source_view=search
Ноутбук HP EliteBook 850 G4;18000 ₽;https://youla.ru/pietierghof/kompyutery/noutbuki/noutbuk-hp-elitebook-850-g4-672397b5afbd4c5b7c0bc954?source_view=search
ноутбук sony vaio 51312v;4000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-sony-vaio-51312v-671f67a81962745a390b0b9d?source_view=search
Honor Ryzen 5 3500U/8GB/SSD256/FullHd/ips;28990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/honor-ryzen-5-3500u8gbssd256fullhdips-6720f769c806921eeb0d93de?source_view=search
Новый Игровой ноутбук;165000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/novyi-ighrovoi-noutbuk-670d13004b31fb632905a074?source_view=search
Игровой ноутбук ASUS ROG Strix G17;75000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-asus-rog-strix-g17-66f941cbc40046b7b807c5f4?source_view=search
Ноутбук модель NP-RV515;4000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-modiel-nprv515-653fba376ce7e6ed09087294?source_view=search
Ryzen 7 4800H/16GB/SSD512/RX5600M/144герца;13512 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ryzen-7-4800h16gbssd512rx5600m144ghiertsa-6721026ba90952e1b1058f5a?source_view=search
Ноутбук Леново В590;10000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lienovo-v590-61fb8743c42153716b0b5e39?source_view=search
Ультракомпактный тонкий ноутбук asus S1300N;2600 ₽;https://youla.ru/pushkin/kompyutery/noutbuki/ultrakompaktnyi-tonkii-noutbuk-asus-s1300n-5e0a7528a0660666790a2fe2?source_view=search
Ноутбук Samsung;9000 ₽;https://youla.ru/kolpino/kompyutery/noutbuki/noutbuk-samsung-63f4ba9763524143217e4323?source_view=search
Lenovo I5-8265U/8GB/SSD128/GeForce MX110;21990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/lenovo-i58265u8gbssd128geforce-mx110-6721089402fd6cb3b4057e14?source_view=search
Ноутбук HP Victus;100000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-hp-victus-65f9c37696ebaa9751056c49?source_view=search
Мощный ноутбук на Core i5;5390 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/moshchnyi-noutbuk-na-core-i5-66d64193b824b2d70f05fb74?source_view=search
Ноутбук Lenovo G570 Intel Core i3 6Gb озу;9999 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-g570-intel-core-i3-6gb-ozu-6724baf742c471cf8b00e134?source_view=search
Msi 17.3/i7-6700HQ/16GB/SSD512/GTX960/ips;29990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/msi-173i76700hq16gbssd512gtx960ips-67210aa01e0874bc4a046a94?source_view=search
"Ноутбук игровой 17.3"" Asus Rog Strix G17 G712LWS-E";85000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-ighrovoi-173-asus-rog-strix-g17-g712lwse-66f831ae06b4d25da9028764?source_view=search
Игровой ноутбук HP omen 17-an033ur;55000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-hp-omen-17an033ur-6612fb93683df74000013f1a?source_view=search
Ноутбук Lenovo Ideapad 330-15AST FullHD SSD сумка;10000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-msi-gl62-fhd-i5-gtx-950m-1tb-8gb-6724bf1b2b7702953909fe74?source_view=search
Huawei Ryzen 5 5500U/8GB/SSD256/FullHd/ips;30990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/huawei-ryzen-5-5500u8gbssd256fullhdips-67210471e0e5c2fd5a0abd43?source_view=search
Ноутбук TOSHIBA Satellite A110-293 RU;3000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/printier-mfu-hp-j-5500-64f09a09b9719ce2e5007ea4?source_view=search
Ноутбук + роутер WiFi;2900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-+-routier-wifi-66b8b13613df803622018bfe?source_view=search
ноутбук ASUS A9RP;1000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-a9rp-6632a11bf4432537cb068933?source_view=search
Ноутбуки;9900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuki-60475ca5cd37b552a201558e?source_view=search
Asus Rog;10700 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/asus-rog-6727ab02401d99ab5402bfb4?source_view=search
Ноутбук HP FullHD 4 ядра 8GB SSD 240GB AMD R5 M430;12000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-lenovo-6713c0dd4513a161420fcf94?source_view=search
Ноутбук Irbis 144;6000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-irbis-144-672c69b7ee55ab4b830d9065?source_view=search
Ноутбук Acer Nitro 5 AN515-45-R4SB, GF3060, new;75000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-acer-nitro-5-an51545r4sb-gf3060-new-62cc0edcb3fb323a2c5cf2aa?source_view=search
Игровой ноутбук HP Probook 4525s(4 ядра\8гб);12000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-hp-probook-4525s4-iadra8ghb-668525c99f4aa1c6d808695d?source_view=search
Aspire E5-575G;23990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/aspire-e5575g-67289ab3745984d45e09e45e?source_view=search
Игровой ноутбук;24000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovoi-noutbuk-67373d07ba837e6ac600fd90?source_view=search
Игровые ноутбуки;18900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ighrovyie-noutbuki-6047687905296f04071e2ba8?source_view=search
"Ноутбук asus 16"" n61jv";6500 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-16-n61jv-65436eebcf75a2bca5075ae1?source_view=search
Asus zenbook 13;29990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/asus-zenbook-13-672893f9db93e5d9210dcbe4?source_view=search
Ноутбук ASUS;25000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-66375e00f7d404b80b0d74a4?source_view=search
Ноутбук+ МФУ;6000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk+-mfu-66fa70e19c3c27068000362f?source_view=search
Ноутбук ThinkPad T450 Core i7 16Gb 250SSD IPS;39900 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-thinkpad-t450-core-i7-16gb-250ssd-ips-5bd974512c593e0a3e2da572?source_view=search
Ryzen 5-5500U/16GB/SSD512/FullHd/ips;28990 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/ryzen-55500u16gbssd512fullhdips-6720f8ff242d87bf390125f4?source_view=search
Ноутбук Asus;13000 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/noutbuk-asus-5f639a3d7430c76cd772ba1f?source_view=search
Acer Ryzen 5 3550H/16GB/SSD256/GTX1650/ips;10100 ₽;https://youla.ru/sankt-peterburg/kompyutery/noutbuki/acer-ryzen-5-3550h16gbssd256gtx1650ips-6720f583ccddb61c18094c94?source_view=search
